Variable,Description,Prompt,Form,Data_Type,Permissible_Values,Home_Classification,Primary_Model_Use,Reason
30150-flu_tst_symptoms-10,"Symptoms experienced prior to getting tested, selected; Fatigue (more than normal)",Which of the following symptoms did you experience prior to getting tested? Fatigue (more than normal),Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-12,"Symptoms experienced prior to getting tested, selected; Headaches",Which of the following symptoms did you experience prior to getting tested? Headaches,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-13,"Symptoms experienced prior to getting tested, selected; Joint or any other unexplained pain",Which of the following symptoms did you experience prior to getting tested? Joint or any other unexplained pain,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-15,"Symptoms experienced prior to getting tested, selected; Loss of taste",Which of the following symptoms did you experience prior to getting tested? Loss of taste,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-16,"Symptoms experienced prior to getting tested, selected; Loss of smell",Which of the following symptoms did you experience prior to getting tested? Loss of smell,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-21,"Symptoms experienced prior to getting tested, selected; Runny nose",Which of the following symptoms did you experience prior to getting tested? Runny nose,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-23,"Symptoms experienced prior to getting tested, selected; Shortness of breath",Which of the following symptoms did you experience prior to getting tested? Shortness of breath,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-30,"Symptoms experienced prior to getting tested, selected; Wheezing",Which of the following symptoms did you experience prior to getting tested? Wheezing,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
32010-flu_tst_specify,Other symptoms prior to testing for FLU,"Other symptoms prior to testing, please specify:",Symptom Screening,Text,,Available at home,False,Free text excluded from structured model
30153-Symptoms-1,"In the last 14 days, the participant experienced the following symptoms, selected; None","In the last 14 days, did you experience any of the following symptoms? None",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30153-Symptoms-2,"In the last 14 days, the participant experienced the following symptoms, selected; Fever or feeling feverish","In the last 14 days, did you experience any of the following symptoms? Fever or feeling feverish",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30153-Symptoms-3,"In the last 14 days, the participant experienced the following symptoms, selected; Muscle aches (not due to exercise)","In the last 14 days, did you experience any of the following symptoms? Muscle aches (not due to exercise)",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30153-Symptoms-4,"In the last 14 days, the participant experienced the following symptoms, selected; Pinkeye or Conjunctivitis","In the last 14 days, did you experience any of the following symptoms? Pinkeye or Conjunctivitis",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30153-Symptoms-5,"In the last 14 days, the participant experienced the following symptoms, selected; Fatigue (more than normal)","In the last 14 days, did you experience any of the following symptoms? Fatigue (more than normal)",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30153-Symptoms-6,"In the last 14 days, the participant experienced the following symptoms, selected; Chills","In the last 14 days, did you experience any of the following symptoms? Chills",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30153-Symptoms-999,"In the last 14 days, the participant experienced the following symptoms, selected; Prefer not to answer","In the last 14 days, did you experience any of the following symptoms? Prefer not to answer",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30154-Symptoms_Resp-1,"In the last 14 days, did you experience any of the following respiratory symptoms? None","In the last 14 days, did you experience any of the following respiratory symptoms? None",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose","In the last 14 days, did you experience any of the following respiratory symptoms? Runny nose",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30154-Symptoms_Resp-3,"In the last 14 days,  the participant experienced the following respiratory symptoms; Cough","In the last 14 days, did you experience any of the following respiratory symptoms? Cough",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30154-Symptoms_Resp-4,"In the last 14 days,  the participant experienced the following respiratory symptoms; Difficulty breathing","In the last 14 days, did you experience any of the following respiratory symptoms? Difficulty breathing",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30154-Symptoms_Resp-5,"In the last 14 days,  the participant experienced the following respiratory symptoms; Wheezing","In the last 14 days, did you experience any of the following respiratory symptoms? Wheezing",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30154-Symptoms_Resp-6,"In the last 14 days,  the participant experienced the following respiratory symptoms; Shortness of breath","In the last 14 days, did you experience any of the following respiratory symptoms? Shortness of breath",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30154-Symptoms_Resp-7,"In the last 14 days,  the participant experienced the following respiratory symptoms; Chest pain","In the last 14 days, did you experience any of the following respiratory symptoms? Chest pain",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat","In the last 14 days, did you experience any of the following respiratory symptoms? Sore throat",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30154-Symptoms_Resp-999,"In the last 14 days,  the participant experienced the following respiratory symptoms; Prefer not to answer","In the last 14 days, did you experience any of the following respiratory symptoms? Prefer not to answer",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30155-Symptom_Resp_other,Respiratory pre-existing,Are these symptoms consistent with any chronic respiratory conditions you have?,Symptom Screening,Categorical,"1, No; 2, Yes; 3, Not sure; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
30156-Symptom_GI-1,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; None","In the last 14 days, did you experience any of the following gastrointestinal symptoms? None",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30156-Symptom_GI-2,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Diarrhea","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Diarrhea",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30156-Symptom_GI-3,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Stomach or abdominal pain","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Stomach or abdominal pain",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30156-Symptom_GI-4,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Change in or loss of appetite","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Change in or loss of appetite",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30156-Symptom_GI-5,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Nausea or vomiting","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Nausea or vomiting",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30156-Symptom_GI-999,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Prefer not to answer","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Prefer not to answer",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30157-Symtpom_GI_other,Gastrointestinal Pre-existing,"Are these symptoms consistent with any chronic gastrointestinal conditions you have, such as Celiac, Crohn's, Diverticulitis, GERD, Irritable Bowel Syndrome, food allergies, or other similar chronic conditions?",Symptom Screening,Categorical,"1, No; 2, Yes; 3, Not sure; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
30158-Symtpom_Neuro-1,"In the last 14 days,  the participant experienced the following neurological symptoms; None","In the last 14 days, did you experience any of the following neurological symptoms? None",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30158-Symtpom_Neuro-2,"In the last 14 days,  the participant experienced the following neurological symptoms; Headaches","In the last 14 days, did you experience any of the following neurological symptoms? Headaches",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30158-Symtpom_Neuro-3,"In the last 14 days,  the participant experienced the following neurological symptoms; Loss of balance","In the last 14 days, did you experience any of the following neurological symptoms? Loss of balance",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30158-Symtpom_Neuro-4,"In the last 14 days,  the participant experienced the following neurological symptoms; Slurred speech","In the last 14 days, did you experience any of the following neurological symptoms? Slurred speech",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30158-Symtpom_Neuro-5,"In the last 14 days,  the participant experienced the following neurological symptoms; New confusion","In the last 14 days, did you experience any of the following neurological symptoms? New confusion",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30158-Symtpom_Neuro-6,"In the last 14 days,  the participant experienced the following neurological symptoms; Unusual shivering or shaking","In the last 14 days, did you experience any of the following neurological symptoms? Unusual shivering or shaking",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30158-Symtpom_Neuro-7,"In the last 14 days,  the participant experienced the following neurological symptoms; Loss of smell","In the last 14 days, did you experience any of the following neurological symptoms? Loss of smell",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30158-Symtpom_Neuro-8,"In the last 14 days,  the participant experienced the following neurological symptoms; Loss of taste","In the last 14 days, did you experience any of the following neurological symptoms? Loss of taste",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30158-Symtpom_Neuro-9,"In the last 14 days,  the participant experienced the following neurological symptoms; Any tingling/numbness/swelling in hands or feet","In the last 14 days, did you experience any of the following neurological symptoms? Any tingling/numbness/swelling in hands or feet",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30158-Symtpom_Neuro-999,"In the last 14 days,  the participant experienced the following neurological symptoms; Prefer not to answer","In the last 14 days, did you experience any of the following neurological symptoms? Prefer not to answer",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30159-Symptom_Neuro_Other,Neurological pre-existing,"Are these symptoms consistent with any chronic neurological conditions you have, such as migraines, stroke, or other similar chronic conditions?",Symptom Screening,Categorical,"1, No; 2, Yes; 3, Not sure; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
30160-Symptom_Inflamm-1,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; None","In the last 14 days, did you experience any of the following inflammatory symptoms? None",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30160-Symptom_Inflamm-2,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Joint or any other unexplained pain","In the last 14 days, did you experience any of the following inflammatory symptoms? Joint or any other unexplained pain",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30160-Symptom_Inflamm-3,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Red or purple rash or lesions on your toes","In the last 14 days, did you experience any of the following inflammatory symptoms? Red or purple rash or lesions on your toes",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30160-Symptom_Inflamm-4,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Unexplained rashes anywhere else","In the last 14 days, did you experience any of the following inflammatory symptoms? Unexplained rashes anywhere else",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30160-Symptom_Inflamm-5,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Excessive sweating","In the last 14 days, did you experience any of the following inflammatory symptoms? Excessive sweating",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30160-Symptom_Inflamm-999,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Prefer not to answer","In the last 14 days, did you experience any of the following inflammatory symptoms? Prefer not to answer",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30161-Symptom_Inflamm_othe,Inflammatory pre-existing,"Are these symptoms consistent with any chronic immune system conditions you have, such as Graves' disease, Lupus, Lyme disease, Rheumatoid arthritis or other similar chronic conditions?",Symptom Screening,Categorical,"1, No; 2, Yes; 3, Not sure; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
32588-Symptoms_Ill_1,(If applicable) The participant indicates this was a first symptom related to: Any tingling/numbness/swelling in hands or feet,Did you experience this symptom first? Any tingling/numbness/swelling in hands or feet,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32589-Symptoms_Ill_2,(If applicable) The participant indicates this was a first symptom related to: Bluish lips or face,Did you experience this symptom first? Bluish lips or face,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32590-Symptoms_Ill_3,(If applicable) The participant indicates this was a first symptom related to: Change in or loss of appetite,Did you experience this symptom first? Change in or loss of appetite,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32591-Symptoms_Ill_4,(If applicable) The participant indicates this was a first symptom related to: Chest pain,Did you experience this symptom first? Chest pain,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32592-Symptoms_Ill_5,(If applicable) The participant indicates this was a first symptom related to: Chills,Did you experience this symptom first? Chills,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32593-Symptoms_Ill_6,(If applicable) The participant indicates this was a first symptom related to: Cough,Did you experience this symptom first? Cough,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32594-Symptoms_Ill_7,(If applicable) The participant indicates this was a first symptom related to: Diarrhea,Did you experience this symptom first? Diarrhea,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32595-Symptoms_Ill_8,(If applicable) The participant indicates this was a first symptom related to: Difficulty breathing,Did you experience this symptom first? Difficulty breathing,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32596-Symptoms_Ill_9,(If applicable) The participant indicates this was a first symptom related to: Excessive sweating,Did you experience this symptom first? Excessive sweating,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32597-Symptoms_Ill_10,(If applicable) The participant indicates this was a first symptom related to: Fatigue (more than normal),Did you experience this symptom first? Fatigue (more than normal),Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32598-Symptoms_Ill_11,(If applicable) The participant indicates this was a first symptom related to: Fever or feverish feeling,Did you experience this symptom first? Fever or feverish feeling,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32599-Symptoms_Ill_12,(If applicable) The participant indicates this was a first symptom related to: Headaches,Did you experience this symptom first? Headaches,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32600-Symptoms_Ill_13,(If applicable) The participant indicates this was a first symptom related to: Joint or any other unexplained pain,Did you experience this symptom first? Joint or any other unexplained pain,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32601-Symptoms_Ill_14,(If applicable) The participant indicates this was a first symptom related to: Loss of balance,Did you experience this symptom first? Loss of balance,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32602-Symptoms_Ill_15,(If applicable) The participant indicates this was a first symptom related to: Loss of taste,Did you experience this symptom first? Loss of taste,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32603-Symptoms_Ill_16,(If applicable) The participant indicates this was a first symptom related to: Loss of smell,Did you experience this symptom first? Loss of smell,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32604-Symptoms_Ill_17,(If applicable) The participant indicates this was a first symptom related to: Muscle aches (not due to exercise),Did you experience this symptom first? Muscle aches (not due to exercise),Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32605-Symptoms_Ill_18,(If applicable) The participant indicates this was a first symptom related to: New confusion,Did you experience this symptom first? New confusion,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32606-Symptoms_Ill_19,(If applicable) The participant indicates this was a first symptom related to: Pinkeye or Conjunctivitis,Did you experience this symptom first? Pinkeye or Conjunctivitis,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32607-Symptoms_Ill_20,(If applicable) The participant indicates this was a first symptom related to: Red or purple rash or lesions on your toes,Did you experience this symptom first? Red or purple rash or lesions on your toes,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32608-Symptoms_Ill_21,(If applicable) The participant indicates this was a first symptom related to: Runny nose,Did you experience this symptom first? Runny nose,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32609-Symptoms_Ill_22,(If applicable) The participant indicates this was a first symptom related to: Seizures,Did you experience this symptom first? Seizures,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32610-Symptoms_Ill_23,(If applicable) The participant indicates this was a first symptom related to: Shortness of breath,Did you experience this symptom first? Shortness of breath,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32611-Symptoms_Ill_24,(If applicable) The participant indicates this was a first symptom related to: Slurred speech,Did you experience this symptom first? Slurred speech,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32612-Symptoms_Ill_25,(If applicable) The participant indicates this was a first symptom related to: Sore throat,Did you experience this symptom first? Sore throat,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32613-Symptoms_Ill_26,(If applicable) The participant indicates this was a first symptom related to: Stomach or abdominal pain,Did you experience this symptom first? Stomach or abdominal pain,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32614-Symptoms_Ill_27,(If applicable) The participant indicates this was a first symptom related to: Unexplained rashes anywhere else,Did you experience this symptom first? Unexplained rashes anywhere else,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32615-Symptoms_Ill_28,(If applicable) The participant indicates this was a first symptom related to: Unusual shivering or shaking,Did you experience this symptom first? Unusual shivering or shaking,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32616-Symptoms_Ill_29,(If applicable) The participant indicates this was a first symptom related to: Nausea or vomiting,Did you experience this symptom first? Nausea or vomiting,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32617-Symptoms_Ill_30,(If applicable) The participant indicates this was a first symptom related to: Wheezing,Did you experience this symptom first? Wheezing,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
32618-Symptoms_Ill_999,Participant declines to provide details on first symptoms,Select this if you are not willing to share your first symptoms,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
33473-_Symptom_Success,"System generated variable, not required",,Symptom Screening,Text,,Available at home,False,Free text excluded from structured model
32011-symptom_startdate_DEID,Number of days from day of Consent when Participant started exhibiting COVID symptoms,What was the date that your symptoms first started?,Symptom Screening,Integer,De-identified Value in Days,Not available at home,False,Administrative/date/identifier field
30165-Prev_Diag,Previously recovered from COVID in last 90 days,Have you recovered from COVID-19 in the last 90 days?,Symptom Screening,Categorical,"1, No; 2, Yes; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
30166-Prev_exposure-1,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; No","In the last 14 days, did you live with, or have you been exposed to, someone diagnosed with COVID-19 or the flu? No",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30166-Prev_exposure-2,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; Yes, with COVID-19;","In the last 14 days, did you live with, or have you been exposed to, someone diagnosed with COVID-19 or the flu? Yes, with COVID-19;",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30166-Prev_exposure-3,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; Yes, with flu","In the last 14 days, did you live with, or have you been exposed to, someone diagnosed with COVID-19 or the flu? Yes, with flu",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30166-Prev_exposure-999,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; Prefer not to answer","In the last 14 days, did you live with, or have you been exposed to, someone diagnosed with COVID-19 or the flu? Prefer not to answer",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
30167-Mask,Mask usage status,"In the last 14 days, did you regularly wear a mask indoors, when you were not at home? 
 
This includes work/office, social gatherings, house of worship, medical facility, school, restaurants/bars, sports/recreation or any public transportation such as airlines, or ride sharing situations.",Symptom Screening,Categorical,"1, No, not at all; 2, Sometimes; 3, Yes, always; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
30168-Distance,Social distancing compliance status,"In the last 14 days, did you maintain social distancing from other people who are not from your household in both indoor and outdoor spaces? 
 
This means a safe distance (at least 6 feet) from others.",Symptom Screening,Categorical,"1, No, not at all; 2, Sometimes; 3, Yes, always; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
30169-Food_poison,Food poisining status in last 14 days,"In the last 14 days, did you eat or drink anything that may have given you food poisoning?",Symptom Screening,Categorical,"1, No; 2, Yes; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
30170-Flu_shot,Flu vaccine status,Did you receive a flu shot/vaccine this season?,Symptom Screening,Categorical,"1, No; 2, Yes; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
30171-COVID_vaccine,COVID vaccine status,Did you receive a vaccine for COVID-19?,Symptom Screening,Categorical,"1, No; 2, Yes, both doses of a two-dose vaccine; 3, Yes, only the 1st dose of a two-dose vaccine; 4, Yes, one dose of a one-dose vaccine; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
30172-COVID_vaccine_type,2-dose type vaccine received,Please specify the type of vaccine received:,Symptom Screening,Categorical,"1, Pfizer/BioNTech; 2, Moderna; 3, Other; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
32012-covid_2dose_specify,Other 2-dose vaccine specified,"Other 2-dose vaccine, please specify:",Symptom Screening,Text,,Available at home,False,Free text excluded from structured model
30175-COVID_vaccine_type_2,1-dose type vaccine recevied,Please specify the type of vaccine received:,Symptom Screening,Categorical,"1, Johnson and Johnson (J&J); 2, Other; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
32013-covid_1dose_specify,Other 1-dose vaccine specified,"Other 1-dose, please specify:",Symptom Screening,Text,,Available at home,False,Free text excluded from structured model
32014-COVID_vaccine_date_DEID,Number of days from day of Consent when Participant received a first vaccine,What was the date that you received your first COVID vaccine?,Symptom Screening,Integer,De-identified Value in Days,Not available at home,False,Administrative/date/identifier field
32015-covid_vaccine2_date_DEID,Number of days from day of Consent when Participant received a second vaccine,What was the date that you received your second COVID vaccine?,Symptom Screening,Integer,De-identified Value in Days,Not available at home,False,Administrative/date/identifier field
30182-Travel,Travel in last 14 days Domestically (outside of virginia),"In the last 14 days, did you travel to any states outside of Virginia?",Symptom Screening,Categorical,"1, No; 2, Yes; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
30183-states_specify-3,Participant traveled in the last 14 days to the following: Arizona,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Arizona,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from Symptom Screening
